PMID,Sentence,ID_1,E1,Type_E1,Full_E1,MeSH_E1,Synonyms_1,Relation,ID_2,E2,Type_E2,Full_E2,MeSH_E2,Synonyms_2
20100992,"alpha-Adrenoceptor antagonists have been a rational first choice; nevertheless, calcium channel blockers are primarily used in autonomic dysreflexia management.",,calcium channel,CHEMICAL,calcium channel,,,used in,,autonomic dysreflexia management,DISEASE,autonomic dysreflexia management,,
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",,Upper leg blood flow,DISEASE,Upper leg blood flow,,,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,,femoral artery,DISEASE,femoral artery,,
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",,Upper leg blood flow,DISEASE,Upper leg blood flow,,,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,,phentolamine,CHEMICAL,phentolamine,,
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",,Upper leg blood flow,DISEASE,Upper leg blood flow,,,use venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in,,calcium channel blocker,CHEMICAL,nicardipine,,
20100992,"Upper leg blood flow was measured using venous occlusion plethysmography during supine rest and during exaggerated sympathetic activity in 6 spinal cord-injured individuals and 7 able-bodied control individuals, without and with phentolamine (alpha-adrenoceptor antagonist) and nicardipine (calcium channel blocker) infusion into the right femoral artery.",,Upper leg blood flow,DISEASE,Upper leg blood flow,,,use,,venous occlusion plethysmography,DISEASE,venous occlusion plethysmography,,
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",,phentolamine,CHEMICAL,phentolamine,,,leg vascular resistance increase during,,autonomic dysreflexia,DISEASE,autonomic dysreflexia,,
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",,phentolamine,CHEMICAL,phentolamine,,,leg vascular resistance increase during,,nicardipine,CHEMICAL,nicardipine,,
20100992,"In spinal cord-injured individuals, phentolamine significantly reduced the leg vascular resistance increase during autonomic dysreflexia (8+/-5 versus 24+/-13 arbitrary units; P=0.04) in contrast to nicardipine (15+/-10 versus 24+/-13 arbitrary units; P=0.12).",,phentolamine,CHEMICAL,phentolamine,,,leg,,resistance increase,MENTAL_HEALTH,resistance increase,,
20100992,"In controls, phentolamine completely abolished the leg vascular resistance increase during a cold pressure test (1+/-2 versus 18+/-14 arbitrary units; P=0.02).",,phentolamine,CHEMICAL,phentolamine,,,abolish in,,resistance increase,MENTAL_HEALTH,resistance increase,,
11110849,"The antioxidant properties of vitamin E were established (P: < 0.01) by the elevation of plasma vitamin E, together with depression in both plasma malondialdehyde and urinary DNA adduct 8-hydroxy-2'-deoxyguanosine after supplementation.",,vitamin E,BIOCHEMICAL,α-tocopherol,,,established,,plasma malondialdehyde,CHEMICAL,plasma malondialdehyde,,
11110849,"The antioxidant properties of vitamin E were established (P: < 0.01) by the elevation of plasma vitamin E, together with depression in both plasma malondialdehyde and urinary DNA adduct 8-hydroxy-2'-deoxyguanosine after supplementation.",,vitamin E,BIOCHEMICAL,α-tocopherol,,,established,,plasma vitamin E,BIOCHEMICAL,plasma vitamin E,,
11110849,"The antioxidant properties of vitamin E were established (P: < 0.01) by the elevation of plasma vitamin E, together with depression in both plasma malondialdehyde and urinary DNA adduct 8-hydroxy-2'-deoxyguanosine after supplementation.",,vitamin E,BIOCHEMICAL,α-tocopherol,,,established,,depression,MENTAL_HEALTH,central alpha-2 receptors,,
11110849,"The antioxidant properties of vitamin E were established (P: < 0.01) by the elevation of plasma vitamin E, together with depression in both plasma malondialdehyde and urinary DNA adduct 8-hydroxy-2'-deoxyguanosine after supplementation.",,vitamin E,BIOCHEMICAL,α-tocopherol,,,established,,urinary DNA adduct 8-hydroxy-2'-deoxyguanosine,CHEMICAL,urinary DNA adduct 8-hydroxy-2'-deoxyguanosine,,
7648849,This preliminary study indicates that elevated serum phosphorus levels may serve as an additional objective marker for the presence of bulimia nervosa.,,elevated phosphorus levels,CHEMICAL,elevated phosphorus levels,,,serve as additional objective marker for presence of,,bulimia nervosa,MENTAL_HEALTH,bulimia nervosa,,
10688623,The negative affective aspects of nicotine withdrawal have been hypothesized to contribute to tobacco dependence.,,nicotine withdrawal,CHEMICAL,nicotine withdrawal,,,contribute to,,tobacco dependence,DISEASE,tobacco dependence,,
32025904,The oral thrombopoietin (TPO) receptor agonist lusutrombopag (Mulpleta®) was developed to improve thrombocytopenia in patients with chronic liver disease prior to elective invasive medical procedures.,,thrombopoietin TPO receptor,CHEMICAL,thrombopoietin TPO receptor,,,improve thrombocytopenia in patients with,,chronic liver disease,DISEASE,chronic liver disease,,
32025904,The oral thrombopoietin (TPO) receptor agonist lusutrombopag (Mulpleta®) was developed to improve thrombocytopenia in patients with chronic liver disease prior to elective invasive medical procedures.,,thrombopoietin TPO receptor,CHEMICAL,thrombopoietin TPO receptor,,,improve,,thrombocytopenia,DISEASE,thrombocytopenia,,
32025904,The oral thrombopoietin (TPO) receptor agonist lusutrombopag (Mulpleta®) was developed to improve thrombocytopenia in patients with chronic liver disease prior to elective invasive medical procedures.,,thrombocytopenia,DISEASE,thrombocytopenia,,,in patients with,,chronic liver disease,DISEASE,chronic liver disease,,
35041229,"Curcumin inhibits vaginal infections, attenuates the severity of the premenstrual syndrome, ameliorates inflammatory conditions in polycystic ovary syndrome, improves preeclampsia, and prevents ectopic endometrial lesions.",,Curcumin,CHEMICAL,Curcumin,,,ameliorate inflammatory conditions in,,polycystic ovary syndrome,DISEASE,polycystic ovary syndrome,,
35041229,"Curcumin inhibits vaginal infections, attenuates the severity of the premenstrual syndrome, ameliorates inflammatory conditions in polycystic ovary syndrome, improves preeclampsia, and prevents ectopic endometrial lesions.",,Curcumin,CHEMICAL,Curcumin,,,attenuate severity of,,premenstrual syndrome,MENTAL_HEALTH,premenstrual syndrome,,
35041229,"Curcumin inhibits vaginal infections, attenuates the severity of the premenstrual syndrome, ameliorates inflammatory conditions in polycystic ovary syndrome, improves preeclampsia, and prevents ectopic endometrial lesions.",,Curcumin,CHEMICAL,Curcumin,,,prevent,,ectopic endometrial lesions,DISEASE,ectopic endometrial lesions,,
35041229,"Curcumin inhibits vaginal infections, attenuates the severity of the premenstrual syndrome, ameliorates inflammatory conditions in polycystic ovary syndrome, improves preeclampsia, and prevents ectopic endometrial lesions.",,Curcumin,CHEMICAL,Curcumin,,,inhibit,,vaginal infections,DISEASE,vaginal infections,,
35041229,"Curcumin inhibits vaginal infections, attenuates the severity of the premenstrual syndrome, ameliorates inflammatory conditions in polycystic ovary syndrome, improves preeclampsia, and prevents ectopic endometrial lesions.",,Curcumin,CHEMICAL,Curcumin,,,improve,,preeclampsia,DISEASE,preeclampsia,,
26687135,Exposure of embryos to TMT for 4 days post fertilization (dpf) elicited a concentration-related decrease in body length and increase in axial malformation.,,TMT,CHEMICAL,Trimethyltin chloride,,,elicit concentration-related decrease in body length and increase in,,axial malformation,DISEASE,axial malformation,,
14643695,"Treatment with the estradiol receptor antagonists, tamoxifen (TAM) (10 mg kg(-1); s.c. or 0.1 microg; i.cist.) and 4-hydroxytamoxifen (10 mg kg(-1); s.c.), or the androgen receptor antagonist, cyproterone (10 mg kg(-1); s.c. or 1 microg; i.cist.), did not influence the protective effect of betaE2 or TES on ouabain-induced amnesia.",,betaE2,CHEMICAL,betaE2,,,have the protective effect on,,ouabain-induced amnesia,MENTAL_HEALTH,ouabain-induced amnesia,,
14643695,"Treatment with the estradiol receptor antagonists, tamoxifen (TAM) (10 mg kg(-1); s.c. or 0.1 microg; i.cist.) and 4-hydroxytamoxifen (10 mg kg(-1); s.c.), or the androgen receptor antagonist, cyproterone (10 mg kg(-1); s.c. or 1 microg; i.cist.), did not influence the protective effect of betaE2 or TES on ouabain-induced amnesia.",,TES,CHEMICAL,TES,,,have the protective effect on,,ouabain-induced amnesia,MENTAL_HEALTH,ouabain-induced amnesia,,
14643695,"These results indicate that betaE2 and TES ameliorate the amnesia induced by inhibition of (Na(+), K(+))-ATPase activity, and that the protective effect of betaE2 is caused by a non-genomic, rather than a genomic effect or a radical scavenging action.",,TES,CHEMICAL,TES,,,ameliorate,,amnesia,MENTAL_HEALTH,amnesia,,
12847120,The pattern of mean maximum lateral displacement (z(max)) and mean maximum bending angle (beta(max)) along the body in the bonito differed from that of both chub mackerel Scomber japonicus and kawakawa tuna Euthynnus affinis; z(max) was highest in the bonito.,,mean maximum lateral displacement,MENTAL_HEALTH,mean maximum lateral displacement,,,differ from,,chub mackerel,NUTRITION,chub mackerel,,
34883657,"By continuously enhancing the blood flow, far-infrared (FIR) textile is anticipated to be a potential non-pharmacological therapy in patients with peripheral vascular disorders, for instance, patients with end-stage renal disease (ESRD) undergoing hemodialysis (HD) and experiencing vasculogenic erectile dysfunction (VED).",,far-infrared FIR textile,CHEMICAL,far-infrared FIR textile,,,anticipated to potential non-pharmacological therapy in patients with,,ESRD,DISEASE,end-stage renal disease,,
34883657,"By continuously enhancing the blood flow, far-infrared (FIR) textile is anticipated to be a potential non-pharmacological therapy in patients with peripheral vascular disorders, for instance, patients with end-stage renal disease (ESRD) undergoing hemodialysis (HD) and experiencing vasculogenic erectile dysfunction (VED).",,far-infrared FIR textile,CHEMICAL,far-infrared FIR textile,,,anticipated to potential non-pharmacological therapy in patients with,,peripheral vascular disorders,DISEASE,peripheral vascular disorders,,
35530281,"JTB protein itself is involved in mitotic spindle pathway by its role in cell division/cytokinesis, and within estrogen response early and late pathways, contributing to discrimination between luminal and mesenchymal breast cancer.",,luminal,CHEMICAL,luminal,,,have discrimination with,,mesenchymal breast cancer,DISEASE,mesenchymal breast cancer,,
35530281,"JTB protein itself is involved in mitotic spindle pathway by its role in cell division/cytokinesis, and within estrogen response early and late pathways, contributing to discrimination between luminal and mesenchymal breast cancer.",,mesenchymal breast cancer,DISEASE,mesenchymal breast cancer,,,have discrimination with,,luminal,CHEMICAL,luminal,,
35530281,"Thus, the overexpressed JTB condition was significantly associated with an increased expression of ACTNs, FLNA, FLNB, EZR, MYOF, COL3A1, COL11A1, HSPA1A, HSP90A, WDR, EPPK1, FASN and FOXA1 proteins related to deregulation of cytoskeletal organization and biogenesis, mitotic spindle organization, ECM remodeling, cellular response to estrogen, proliferation, migration, metastasis, increased lipid biogenesis, endocrine therapy resistance, antiapoptosis and discrimination between different breast cancer subtypes.",,estrogen,CHEMICAL,estrogen,,,increase,,endocrine therapy resistance,MENTAL_HEALTH,endocrine therapy resistance,,
35530281,"Thus, the overexpressed JTB condition was significantly associated with an increased expression of ACTNs, FLNA, FLNB, EZR, MYOF, COL3A1, COL11A1, HSPA1A, HSP90A, WDR, EPPK1, FASN and FOXA1 proteins related to deregulation of cytoskeletal organization and biogenesis, mitotic spindle organization, ECM remodeling, cellular response to estrogen, proliferation, migration, metastasis, increased lipid biogenesis, endocrine therapy resistance, antiapoptosis and discrimination between different breast cancer subtypes.",,estrogen,CHEMICAL,estrogen,,,increase,,different breast cancer subtypes,DISEASE,different breast cancer subtypes,,
35453667,"In women with uterine fibroids, there is a correlation between blood Cd levels and fibroid tumor size.",,blood Cd levels,CHEMICAL,blood Cd levels,,,have a correlation with,,fibroid tumor size,DISEASE,fibroid tumor size,,
35453667,"In women with uterine fibroids, there is a correlation between blood Cd levels and fibroid tumor size.",,fibroid tumor size,DISEASE,fibroid tumor size,,,have a correlation with,,blood Cd levels,CHEMICAL,blood Cd levels,,
35453667,"In this study, fibroid cells were exposed to 10 µM CdCl2 for 6 months and a fast-growing Cd-Resistant Leiomyoma culture, termed CR-LM6, was recovered.",,fibroid cells,DISEASE,fibroid cells,,,exposed in,,CdCl2,CHEMICAL,CdCl2,,
2263649,Intracaudate injections of relatively high doses of apomorphine produce a regression in motor behavior of cats collecting food pellets in a treadmill design (25).,,Intracaudate injections,CHEMICAL,Intracaudate injections,,,produce,,regression,MENTAL_HEALTH,regression,,
2263649,Intracaudate injections of relatively high doses of apomorphine produce a regression in motor behavior of cats collecting food pellets in a treadmill design (25).,,apomorphine,CHEMICAL,dopamine agonist,,,produce,,regression,MENTAL_HEALTH,regression,,
2263649,Picrotoxin produced dose-dependently a regression in motor behavior which was comparable to that elicited by intrastriatally injected apomorphine.,,Picrotoxin,CHEMICAL,Picrotoxin,,,produce regression in,,motor behavior,DISEASE,motor behavior,,
2263649,Picrotoxin produced dose-dependently a regression in motor behavior which was comparable to that elicited by intrastriatally injected apomorphine.,,Picrotoxin,CHEMICAL,Picrotoxin,,,produce,,regression,MENTAL_HEALTH,regression,,
2263649,The noted effects were GABA-specific since muscimol attenuated the picrotoxin-induced regression.,,muscimol,CHEMICAL,muscimol,,,attenuate,,picrotoxin-induced regression,MENTAL_HEALTH,picrotoxin-induced regression,,
11274962,"Opiates, such as morphine, have been used extensively in the clinical management of pain due to their potent analgesic effect.",,morphine,CHEMICAL,morphine,,,used in clinical management of,,pain,DISEASE,pain,,
11274962,Morphine also inhibited the nuclear condensation and fragmentation of SIN-1-treated cells that was antagonized by naloxone pretreatment.,,Morphine,CHEMICAL,Morphine,,,inhibit,,fragmentation,MENTAL_HEALTH,fragmentation,,
35246454,Studies report an increased risk of self-harm or suicide in people prescribed mirtazapine compared with other antidepressants.,,self-harm,DISEASE,self-harm,,,prescribe,,mirtazapine,CHEMICAL,mirtazapine,,
34561608,"There is concern that selective serotonin reuptake inhibitor (SSRI) treatment may increase the risk of suicide attempts or deaths, particularly among children and adolescents.",,selective serotonin inhibitor SSRI treatment,CHEMICAL,selective serotonin inhibitor SSRI treatment,,,increase risk of,,suicide attempts,MENTAL_HEALTH,suicide attempts,,
34561608,"There is concern that selective serotonin reuptake inhibitor (SSRI) treatment may increase the risk of suicide attempts or deaths, particularly among children and adolescents.",,selective serotonin inhibitor SSRI treatment,CHEMICAL,selective serotonin inhibitor SSRI treatment,,,increase risk of,,deaths,DISEASE,deaths,,
12523876,Atypical antipsychotics such as quetiapine and risperidone are associated with a decreased incidence of adverse events such as EPS.,,quetiapine,CHEMICAL,quetiapine,,,associated with decreased incidence of adverse events such as,,EPS,DISEASE,exopolysachharide,,
12523876,Atypical antipsychotics such as quetiapine and risperidone are associated with a decreased incidence of adverse events such as EPS.,,risperidone,CHEMICAL,risperidone,,,associated with decreased incidence of adverse events such as,,EPS,DISEASE,exopolysachharide,,
30388594,"Alterations in hypothalamic-pituitary-adrenal (HPA)-axis activity, fatty acid metabolism, and their relation have been associated with (recurrent) major depressive disorder (MDD), although conflicting findings exist.",,fatty acid metabolism,NUTRITION,fatty acid metabolism,,,associated with,,recurrent major depressive disorder,MENTAL_HEALTH,recurrent major depressive disorder,,
30388594,"Alterations in hypothalamic-pituitary-adrenal (HPA)-axis activity, fatty acid metabolism, and their relation have been associated with (recurrent) major depressive disorder (MDD), although conflicting findings exist.",,fatty acid metabolism,NUTRITION,fatty acid metabolism,,,associated with,,MDD,DISEASE,major depressive disorder,,
32413969,"Pyrrolizidine alkaloids (PAs) are distributed in plant families of Asteraceae, Boraginaceae, and Fabaceae and serve in the chemical defense mechanism against herbivores.",,Pyrrolizidine alkaloids,CHEMICAL,Pyrrolizidine alkaloids,,,serve in,,chemical defense mechanism,MENTAL_HEALTH,chemical defense mechanism,,
32413969,"Pyrrolizidine alkaloids (PAs) are distributed in plant families of Asteraceae, Boraginaceae, and Fabaceae and serve in the chemical defense mechanism against herbivores.",,Pyrrolizidine alkaloids,CHEMICAL,Pyrrolizidine alkaloids,,,distributed in plant families of,,Asteraceae,CHEMICAL,Asteraceae,,
19554200,"Unadjusted linear regression analyses revealed significant inverse associations between plasma lutein, total xanthophylls and both F(2)-IsoP measures at baseline.",,regression analyses,MENTAL_HEALTH,regression analyses,,,reveal significant inverse associations between,,xanthophylls,BIOCHEMICAL,xanthophylls,,
19554200,"Unadjusted linear regression analyses revealed significant inverse associations between plasma lutein, total xanthophylls and both F(2)-IsoP measures at baseline.",,regression analyses,MENTAL_HEALTH,regression analyses,,,reveal significant inverse associations between,,plasma lutein,BIOCHEMICAL,plasma lutein,,
33803899,"The increase in the generation of gut microbial uremic toxins, the activation of aryl hydrocarbon (AhRs) and platelet adrenergic (ARs) receptors, and the nuclear factor kappa B (NF-κB) signaling pathway can serve as potential targets during the prevention of thromboembolic events.",,aryl hydrocarbon receptors,CHEMICAL,aryl hydrocarbon receptors,,,serve as potential targets during prevention of,,thromboembolic events,DISEASE,thromboembolic events,,
11505218,"The CYP2D6 substrates amitriptyline, and (+) and (-) methamphetamine (MAMP) are both p-hydroxylated and N-demethylated (NDM).",,methamphetamine,CHEMICAL,methamphetamine,,,p-hydroxylated,,NDM,DISEASE,N-demethylated,,
32348540,"The terms ""congenital grouped albinotic spots"" (CGAS) and ""polar bear tracks"" refer to a rare, benign retinal disorder of unknown etiology characterized by multiple, predominantly unilateral, variably sized, well-circumscribed, flat white retinal spots organized in groups.",,polar bear tracks,NUTRITION,polar bear tracks,,,refer to,,rare benign retinal disorder,DISEASE,rare benign retinal disorder,,
29896715,"The utilization of alcohol within pregnancy impairs the development of the unborn offspring and can lead to a plethora of anatomical, behavioral, and cognitive abnormalities.",,alcohol,CHEMICAL,alcohol,,,lead to plethora of,,anatomical abnormalities,DISEASE,anatomical abnormalities,,
12106103,Anoxic depolarization was increased by the potent sulfonylurea agent glibenclamide (GLIB) which blocks K+ATP channels.,,Anoxic depolarization,DISEASE,Anoxic depolarization,,,increased by,,potent sulfonylurea agent glibenclamide,CHEMICAL,potent sulfonylurea agent glibenclamide,,
8358535,5. Noradrenaline (100 microM) hyperpolarized the cells and decreased their input resistance.,,Noradrenaline,CHEMICAL,Noradrenaline,,,decrease,,resistance,MENTAL_HEALTH,resistance,,
31764217,Drug treatment at discharge and rehospitalization rates during follow-up time were compared between bipolar disorder-I patients with (n = 55) or without (n = 285) personality disorder comorbidity.,,Drug treatment,BIOCHEMICAL,Drug treatment,,,compared between,,bipolar disorder-I patients,DISEASE,bipolar disorder-I patients,,
31731609,"A total of 160 Saudis with prediabetes (baseline fasting glucose 5.6-6.9 mmol/L), aged 20-60 years, were enrolled in one of the two arms: A one-time general advice about lifestyle modification (GA group) at orientation or a well-structured and monitored nutrition and lifestyle counseling for six months (guidance group).",,baseline glucose mmol/L,CHEMICAL,baseline glucose mmol/L,,,enrolled in one of arms one-time general advice about,,orientation,MENTAL_HEALTH,orientation,,
31731609,"A total of 160 Saudis with prediabetes (baseline fasting glucose 5.6-6.9 mmol/L), aged 20-60 years, were enrolled in one of the two arms: A one-time general advice about lifestyle modification (GA group) at orientation or a well-structured and monitored nutrition and lifestyle counseling for six months (guidance group).",,baseline glucose mmol/L,CHEMICAL,baseline glucose mmol/L,,,enrolled in one of arms one-time general advice about,,GA group,CHEMICAL,lifestyle modification,,
34965200,"This study tested the hypothesis that among adults with lifetime PTSD, panic attacks would be associated with greater lifetime risk for both AUD and DUD.",,panic attacks,DISEASE,panic attacks,,,associated among adults with lifetime ptsd with greater lifetime risk for,,AUD,CHEMICAL,alcohol use disorder,,
34965200,"Adults with lifetime PTSD (N = 2,230) were classified into one of three groups based on diagnostic interview data: adults with PTSD/AUD (i.e., met criteria for PTSD and AUD but not DUD; n = 656), adults with PTSD/DUD (i.e., met criteria for PTSD and DUD, regardless of AUD diagnostic status; n = 643), or adults with PTSD-only (i.e., met criteria for PTSD but not AUD or DUD; n = 1,031).",,lifetime PTSD,DISEASE,lifetime PTSD,,,meet criteria for,,PTSD,DISEASE,Posttraumatic stress disorder,,
34965200,"Adults with lifetime PTSD (N = 2,230) were classified into one of three groups based on diagnostic interview data: adults with PTSD/AUD (i.e., met criteria for PTSD and AUD but not DUD; n = 656), adults with PTSD/DUD (i.e., met criteria for PTSD and DUD, regardless of AUD diagnostic status; n = 643), or adults with PTSD-only (i.e., met criteria for PTSD but not AUD or DUD; n = 1,031).",,lifetime PTSD,DISEASE,lifetime PTSD,,,meet criteria for,,AUD,CHEMICAL,alcohol use disorder,,
24304869,"In particular, rapid eye movement (REM) sleep behavior disorder (RBD) occurs in patients with Parkinson's disease (PD), highlighting the possible connection between dopamine and REM sleep-related neural structures.",,sleep behavior disorder,DISEASE,sleep behavior disorder,,,highlight possible connection between,,sleep-related,DISEASE,sleep-related,,
24304869,"In particular, rapid eye movement (REM) sleep behavior disorder (RBD) occurs in patients with Parkinson's disease (PD), highlighting the possible connection between dopamine and REM sleep-related neural structures.",,sleep behavior disorder,DISEASE,sleep behavior disorder,,,highlight possible connection between,,dopamine,CHEMICAL,dopamine,,
24304869,"In particular, rapid eye movement (REM) sleep behavior disorder (RBD) occurs in patients with Parkinson's disease (PD), highlighting the possible connection between dopamine and REM sleep-related neural structures.",,sleep behavior disorder,DISEASE,sleep behavior disorder,,,occur in particular in patients with parkinson's,,PD,DISEASE,Parkinson 's disease,,
32767414,Many researchers argue that Alzheimer's disease is at least partly caused by deposition of amyloid beta (Aβ) in the brain.,,Alzheimer's disease,DISEASE,Alzheimer's disease,,,caused by deposition of,,amyloid beta,BIOCHEMICAL,amyloid beta,,
29311923,"Recently, we have showed that adenosine is involved in CB hypersensitization during chronic intermittent hypoxia (CIH), which mimics obstructive sleep apnea, since caffeine, a non-selective adenosine receptor antagonist that inhibits A2A and A2B adenosine receptors, decreased CSN chemosensory activity in animals subjected to CIH.",,adenosine,CHEMICAL,adenosine,,,involved in cb hypersensitization during,,chronic intermittent hypoxia,DISEASE,chronic intermittent hypoxia,,
29311923,"Apart from this involvement of adenosine in CB sensitization in sleep apnea, it was recently found that P2X3 ATP receptor in the CB contributes to increased chemoreflex hypersensitivity and hypertension in spontaneously hypertension rats.",,P2X3 ATP receptor,CHEMICAL,P2X3 ATP receptor,,,contribute to increased chemoreflex hypersensitivity and hypertension in,,hypertension rats,DISEASE,hypertension rats,,
29311923,"Apart from this involvement of adenosine in CB sensitization in sleep apnea, it was recently found that P2X3 ATP receptor in the CB contributes to increased chemoreflex hypersensitivity and hypertension in spontaneously hypertension rats.",,P2X3 ATP receptor,CHEMICAL,P2X3 ATP receptor,,,contribute to,,hypertension,DISEASE,hypertension,,
29311923,"Apart from this involvement of adenosine in CB sensitization in sleep apnea, it was recently found that P2X3 ATP receptor in the CB contributes to increased chemoreflex hypersensitivity and hypertension in spontaneously hypertension rats.",,P2X3 ATP receptor,CHEMICAL,P2X3 ATP receptor,,,contribute to,,chemoreflex hypersensitivity,DISEASE,chemoreflex hypersensitivity,,
32279596,"Tamoxifen is widely used for the treatment of hormone-responsive breast cancer, osteoporosis, and post-menopausal symptoms.",,Tamoxifen,CHEMICAL,Tamoxifen,,,used for treatment of,,hormone-responsive breast cancer,DISEASE,hormone-responsive breast cancer,,
32279596,"Tamoxifen is widely used for the treatment of hormone-responsive breast cancer, osteoporosis, and post-menopausal symptoms.",,Tamoxifen,CHEMICAL,Tamoxifen,,,used for treatment of,,post-menopausal symptoms,DISEASE,post-menopausal symptoms,,
32279596,"Tamoxifen is widely used for the treatment of hormone-responsive breast cancer, osteoporosis, and post-menopausal symptoms.",,Tamoxifen,CHEMICAL,Tamoxifen,,,used for treatment of,,osteoporosis,DISEASE,osteoporosis,,
26945727,"Ethylmercury exposure from thimerosal in some vaccines has been associated, in some studies, with autism and other neurological disorders in children.",,thimerosal,CHEMICAL,thimerosal,,,associated in,,autism,MENTAL_HEALTH,autism,,
26945727,"Ethylmercury exposure from thimerosal in some vaccines has been associated, in some studies, with autism and other neurological disorders in children.",,thimerosal,CHEMICAL,thimerosal,,,associated in,,neurological disorders,DISEASE,neurological disorders,,
26945727,The results indicate that the Druckrey-Küpfmüller equation describes well the dose-response characteristics of organic mercury induced neurotoxic effects.,,organic mercury,NUTRITION,organic mercury,,,induce,,neurotoxic effects,DISEASE,neurotoxic effects,,
19362101,"Idiosyncratic drug hepatotoxicity represents a major problem in drug development due to inadequacy of current preclinical screening assays, but recently established rodent models utilizing bacterial LPS co-administration to induce an inflammatory background have successfully reproduced idiosyncratic hepatotoxicity signatures for certain drugs.",,Idiosyncratic drug hepatotoxicity,BIOCHEMICAL,Idiosyncratic drug hepatotoxicity,,,represent major problem in,,drug development,BIOCHEMICAL,drug development,,
19362101,"Idiosyncratic drug hepatotoxicity represents a major problem in drug development due to inadequacy of current preclinical screening assays, but recently established rodent models utilizing bacterial LPS co-administration to induce an inflammatory background have successfully reproduced idiosyncratic hepatotoxicity signatures for certain drugs.",,Idiosyncratic drug hepatotoxicity,BIOCHEMICAL,Idiosyncratic drug hepatotoxicity,,,reproduce,,idiosyncratic hepatotoxicity signatures,DISEASE,idiosyncratic hepatotoxicity signatures,,
19362101,"A larger compendium of drug-cytokine mix hepatotoxicity data demonstrated that hepatotoxicity synergies were largely potentiated by TNF, IL-1 alpha, and LPS within the context of multi-cytokine mixes.",,hepatotoxicity synergies,DISEASE,hepatotoxicity synergies,,,potentiated by,,IL-1 alpha,NUTRITION,IL-1 alpha,,
19362101,"A larger compendium of drug-cytokine mix hepatotoxicity data demonstrated that hepatotoxicity synergies were largely potentiated by TNF, IL-1 alpha, and LPS within the context of multi-cytokine mixes.",,hepatotoxicity synergies,DISEASE,hepatotoxicity synergies,,,potentiated by,,multi-cytokine mixes,CHEMICAL,multi-cytokine mixes,,
19964679,"Idiosyncratic drug hepatotoxicity is a hepatotoxicity subset that occurs in a very small fraction of human patients, is poorly predicted by standard preclinical models and in clinical trials, and frequently leads to postapproval drug failure.",,hepatotoxicity subset,DISEASE,hepatotoxicity subset,,,lead to,,postapproval drug failure,BIOCHEMICAL,postapproval drug failure,,
30301303,"Molecular genetic research on PD is specifically focused on neurotransmitters, including serotonin, neuropeptides, glucocorticoids, and neurotrophins.",,PD,DISEASE,Parkinson 's disease,,,focused on,,serotonin,CHEMICAL,serotonin,,
29259120,"Our data indicate that in demanding building blocks with more versatile redox chemistry, biospheric molecular oxygen triggered the selective fixation of the last amino acids in the genetic code.",,biospheric molecular oxygen,CHEMICAL,biospheric molecular oxygen,,,trigger selective fixation of,,last amino acids,CHEMICAL,last amino acids,,
29259120,"Our data indicate that in demanding building blocks with more versatile redox chemistry, biospheric molecular oxygen triggered the selective fixation of the last amino acids in the genetic code.",,biospheric molecular oxygen,CHEMICAL,biospheric molecular oxygen,,,trigger,,selective fixation,MENTAL_HEALTH,selective fixation,,
32173870,"The effects of prenatal alcohol exposure (PAE) are conceptualized as fetal alcohol spectrum disorder, with fetal alcohol syndrome (FAS) as the most severe.",,prenatal alcohol exposure,CHEMICAL,prenatal alcohol exposure,,,conceptualized as,,FAS,CHEMICAL,fetal alcohol syndrome,,
32173870,"The effects of prenatal alcohol exposure (PAE) are conceptualized as fetal alcohol spectrum disorder, with fetal alcohol syndrome (FAS) as the most severe.",,prenatal alcohol exposure,CHEMICAL,prenatal alcohol exposure,,,conceptualized as,,fetal alcohol spectrum disorder,MENTAL_HEALTH,fetal alcohol spectrum disorder,,
