PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
10934573,Persons in drug treatment with drug dependence were interviewed with the NIMH Diagnostic Interview Schedule to ascertain DSM-III-R disorders.,drug treatment,BIOCHEMICAL,ascertain,DSM-III-R disorders,DISEASE
10934573,Persons in drug treatment with drug dependence were interviewed with the NIMH Diagnostic Interview Schedule to ascertain DSM-III-R disorders.,drug dependence,MENTAL_HEALTH,ascertain,DSM-III-R disorders,DISEASE
10934573,Persons in drug treatment with drug dependence were interviewed with the NIMH Diagnostic Interview Schedule to ascertain DSM-III-R disorders.,drug treatment,BIOCHEMICAL,have persons with,drug dependence,MENTAL_HEALTH
28888041,"In animal models, the methyl donor betaine, found in foods such as wheat bran, quinoa, beets, and spinach, ameliorated neurobehavioral deficits associated with PAE, but effects on heart development are unknown.",methyl donor betaine,CHEMICAL,ameliorate in,neurobehavioral deficits,DISEASE
3048049,"In contrast to the panic disorder patients, depressed patients demonstrate a neuroendocrine subsensitivity to tryptophan.",depressed patients,DISEASE,demonstrate in contrast to,subsensitivity,DISEASE
3048049,"In contrast to the panic disorder patients, depressed patients demonstrate a neuroendocrine subsensitivity to tryptophan.",depressed patients,DISEASE,demonstrate in contrast to,panic disorder patients,MENTAL_HEALTH
3048049,"In contrast to the panic disorder patients, depressed patients demonstrate a neuroendocrine subsensitivity to tryptophan.",depressed patients,DISEASE,demonstrate in contrast to,tryptophan,NUTRITION
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",panic disorder,MENTAL_HEALTH,respond to,tricyclic antidepressants,CHEMICAL
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",depression,MENTAL_HEALTH,respond to benzodiazepines in contrast to,depression,MENTAL_HEALTH
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",depression,MENTAL_HEALTH,respond to,benzodiazepines,CHEMICAL
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",depression,MENTAL_HEALTH,respond to,tricyclic antidepressants,CHEMICAL
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",panic disorder,MENTAL_HEALTH,respond to benzodiazepines in contrast to,depression,MENTAL_HEALTH
3048049,"The pharmacologic treatment response in panic disorder and depression is similar in that both conditions respond to tricyclic antidepressants and monoamine oxidase inhibitors, but different in that panic disorder does not respond to atypical antidepressants such as trazodone and bupropion, but does respond to benzodiazepines, in contrast to depression.",panic disorder,MENTAL_HEALTH,respond to,benzodiazepines,CHEMICAL
33161473,Natural material carnosic acid (CA) has been applied for therapeutics of mental disorders.,material carnosic acid,CHEMICAL,applied for therapeutics of,mental disorders,MENTAL_HEALTH
26935117,We investigated whether curcumin stimulates the neurorepair process and improves locomotor function in a rat model of spinal cord ischemia-reperfusion injury.,curcumin,CHEMICAL,improve locomotor function in rat model of,spinal cord ischemia-reperfusion injury,DISEASE
8733902,A 10-year-old boy with adrenoleukodystrophy was treated with gammaglobulin in conjunction with a mixture of glyceryl trioleate and glyceryl trierucate.,adrenoleukodystrophy,DISEASE,treated with gammaglobulin in conjunction with mixture of,glyceryl trioleate,CHEMICAL
8733902,A 10-year-old boy with adrenoleukodystrophy was treated with gammaglobulin in conjunction with a mixture of glyceryl trioleate and glyceryl trierucate.,adrenoleukodystrophy,DISEASE,treated with gammaglobulin in conjunction with mixture of,trierucate,CHEMICAL
8733902,A 10-year-old boy with adrenoleukodystrophy was treated with gammaglobulin in conjunction with a mixture of glyceryl trioleate and glyceryl trierucate.,adrenoleukodystrophy,DISEASE,treated with gammaglobulin in conjunction with,mixture,BIOCHEMICAL
20675883,"The herbal medicine yokukansan was found to be effective for behavioral and psychological symptoms of dementia (BPSD) in patients, and juzentaihoto was found to reduce AD pathology in a mouse model.",medicine yokukansan,CHEMICAL,found to effective for behavioral and psychological symptoms of,dementia,MENTAL_HEALTH
20675883,"The herbal medicine yokukansan was found to be effective for behavioral and psychological symptoms of dementia (BPSD) in patients, and juzentaihoto was found to reduce AD pathology in a mouse model.",medicine yokukansan,CHEMICAL,found to effective for behavioral and psychological symptoms of,BPSD,DISEASE
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,dementia,MENTAL_HEALTH
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,neuropsychiatric disorders,DISEASE
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,vascular dementia,MENTAL_HEALTH
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,ischemic cardiovascular disease,DISEASE
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,depression,MENTAL_HEALTH
17066210,"Dietary omega-3 fatty acids are involved in the prevention of some aspects of ischemic cardiovascular disease (including at the level of cerebral vascularization), and in some neuropsychiatric disorders, particularly depression, as well as in dementia, including Alzheimer's disease and vascular dementia.",Dietary omega-3 fatty acids,NUTRITION,involved in prevention of aspects of,Alzheimer's disease,DISEASE
17066210,The implication of omega-3 fatty acids in major depression and bipolar disorder (manic-depressive illness) is under evaluation.,omega-3 fatty acids,NUTRITION,have the implication in,bipolar disorder,MENTAL_HEALTH
17066210,The implication of omega-3 fatty acids in major depression and bipolar disorder (manic-depressive illness) is under evaluation.,omega-3 fatty acids,NUTRITION,have the implication in,major depression,MENTAL_HEALTH
18324336,"Treatment of primary BMSCs and lymphoblasts from SDS patients with nocodazole, a microtubule destabilizing agent, led to increased mitotic arrest and apoptosis, consistent with spindle destabilization.",nocodazole,CHEMICAL,lead to,mitotic arrest,DISEASE
19689165,"Therapy with atomoxetine has been associated with statistically significant improvements in symptoms of oppositional defiant disorder in most, but not all, studies.",atomoxetine,CHEMICAL,associated with significant improvements in symptoms of,oppositional defiant disorder,MENTAL_HEALTH
19689165,The tolerability profile of atomoxetine in patients with ADHD and co-morbid conditions was similar to that of patients with uncomplicated ADHD.,atomoxetine,CHEMICAL,in patients with,ADHD,MENTAL_HEALTH
19689165,"Atomoxetine was well tolerated, with adverse events generally mild and transient; the most frequent adverse events in patients with ADHD included abdominal pain, decreased appetite, nausea and vomiting.",ADHD,MENTAL_HEALTH,include,abdominal pain,DISEASE
19995130,"Excessive glutamate neurotransmission has been implicated in neuronal injury in many disorders of the central nervous system (CNS), including human immunodeficiency virus (HIV)-associated dementia.",Excessive glutamate neurotransmission,CHEMICAL,implicated in neuronal injury in many disorders of,(HIV)-associated dementia,DISEASE
19995130,"Excessive glutamate neurotransmission has been implicated in neuronal injury in many disorders of the central nervous system (CNS), including human immunodeficiency virus (HIV)-associated dementia.",Excessive glutamate neurotransmission,CHEMICAL,implicated in neuronal injury in many disorders of,(HIV)-associated dementia,MENTAL_HEALTH
19995130,"Excessive glutamate neurotransmission has been implicated in neuronal injury in many disorders of the central nervous system (CNS), including human immunodeficiency virus (HIV)-associated dementia.",Excessive glutamate neurotransmission,CHEMICAL,implicated in,neuronal injury,DISEASE
19995130,"Since the catabolism of the neuropeptide N-acetylaspartylglutamate (NAAG) by glutamate carboxypeptidase (GCP) II increases cellular glutamate, an event associated with excitotoxicity, we hypothesized that inhibition of GCP II may prevent gp120IIIB-induced cell death.",glutamate carboxypeptidase,CHEMICAL,increase,cellular glutamate,CHEMICAL
19995130,"Since the catabolism of the neuropeptide N-acetylaspartylglutamate (NAAG) by glutamate carboxypeptidase (GCP) II increases cellular glutamate, an event associated with excitotoxicity, we hypothesized that inhibition of GCP II may prevent gp120IIIB-induced cell death.",neuropeptide N-acetylaspartylglutamate,CHEMICAL,increase,cellular glutamate,CHEMICAL
29267136,"Recently, glyphosate and its metabolite aminomethylphosphonic acid (AMPA) have been identified as possible contributors to the emergence of various diseases such as autism, Parkinson's and Alzheimer's diseases, as well as cancer.",metabolite aminomethylphosphonic acid,CHEMICAL,identified as possible contributors to emergence of various diseases such as,cancer,DISEASE
29267136,"Recently, glyphosate and its metabolite aminomethylphosphonic acid (AMPA) have been identified as possible contributors to the emergence of various diseases such as autism, Parkinson's and Alzheimer's diseases, as well as cancer.",metabolite aminomethylphosphonic acid,CHEMICAL,identified as possible contributors to emergence of various diseases such as,Parkinson's Alzheimer's diseases,DISEASE
1571855,Depression in PD is associated with decreased levels of noradrenaline and 5-HT and responds to tricyclic antidepressants.,Depression,MENTAL_HEALTH,associated with decreased levels of,noradrenaline,CHEMICAL
1571855,Depression in PD is associated with decreased levels of noradrenaline and 5-HT and responds to tricyclic antidepressants.,Depression,MENTAL_HEALTH,associated with decreased levels of,5-HT,CHEMICAL
1571855,Depression in PD is associated with decreased levels of noradrenaline and 5-HT and responds to tricyclic antidepressants.,PD,DISEASE,associated with decreased levels of,noradrenaline,CHEMICAL
1571855,Depression in PD is associated with decreased levels of noradrenaline and 5-HT and responds to tricyclic antidepressants.,PD,DISEASE,associated with decreased levels of,5-HT,CHEMICAL
1571855,Drug-induced psychosis reflects stimulation of mesolimbic-cortical dopamine receptors.,Drug-induced psychosis,MENTAL_HEALTH,reflect stimulation of,mesolimbic-cortical dopamine receptors,CHEMICAL
10755680,Lifetime cannabis use disorder was uniquely predicted by marital status (never married) and fewer psychiatric hospitalizations during the previous 6 months.,cannabis,CHEMICAL,predicted by,fewer psychiatric hospitalizations,DISEASE
2723659,Kinetic analysis demonstrated biphasic rates of association and dissociation for both [3H]bremazocine and [3H]U69593.,dissociation,MENTAL_HEALTH,have biphasic rates for,[3H]bremazocine,CHEMICAL
2723659,Guanine nucleotides promote the dissociation of this ternary complex and the stabilisation of a lower-affinity state of the receptor.,Guanine nucleotides,CHEMICAL,promote,dissociation,MENTAL_HEALTH
35458676,"In addition, the cessation of morphine administration induced depressive behavior in mice which were observed during short- and long-term morphine withdrawal.",morphine administration,CHEMICAL,induce in,depressive behavior,DISEASE
35458676,Linagliptin administered during morphine withdrawal significantly reduced the depressive behavior in studied mice.,morphine withdrawal,CHEMICAL,reduce,depressive behavior,DISEASE
35458676,"Furthermore, the short-term morphine withdrawal evoked anxiety which also was reduced by linagliptin in mice.",short-term morphine withdrawal,CHEMICAL,evoke,anxiety,MENTAL_HEALTH
12955099,Nicotinic acetylcholine receptors (nAChRs) have been implicated in a number of neurological disorders.,Nicotinic acetylcholine receptors,CHEMICAL,implicated in number of,neurological disorders,DISEASE
20297872,Early treatment of PD with other agents such as dopamine agonists and monoamine oxidase type B inhibitors can provide symptomatic benefit and delay initiation of levodopa therapy.,dopamine agonists,CHEMICAL,delay initiation of,levodopa therapy,CHEMICAL
20297872,Early treatment of PD with other agents such as dopamine agonists and monoamine oxidase type B inhibitors can provide symptomatic benefit and delay initiation of levodopa therapy.,PD,DISEASE,delay initiation of,levodopa therapy,CHEMICAL
11853799,"However, treatment with desmopressin resolved primary nocturnal enuresis completely.",desmopressin,CHEMICAL,resolve,primary nocturnal enuresis,DISEASE
11853799,"However, treatment with desmopressin resolved primary nocturnal enuresis completely.",desmopressin,CHEMICAL,resolve,primary nocturnal enuresis,MENTAL_HEALTH
11853799,This observation questions the notion that desmopressin resolves primary nocturnal enuresis through pharmacological manipulation of renal concentrating ability only.,desmopressin,CHEMICAL,resolve,primary nocturnal enuresis,DISEASE
11853799,This observation questions the notion that desmopressin resolves primary nocturnal enuresis through pharmacological manipulation of renal concentrating ability only.,desmopressin,CHEMICAL,resolve,primary nocturnal enuresis,MENTAL_HEALTH
35489049,"The relative risk of the sexual consequences development, such as gynecomastia, has been documented using lansoprazole and omeprazole in various cohort studies.",gynecomastia,DISEASE,use,lansoprazole,CHEMICAL
35489049,"The relative risk of the sexual consequences development, such as gynecomastia, has been documented using lansoprazole and omeprazole in various cohort studies.",gynecomastia,DISEASE,use,omeprazole,CHEMICAL
29870875,"We found that FO prevented the LPS-mediated body weight loss, anhedonic behavior, reduction of locomotor activity, up-regulation of the proinflammatory cytokines and serotoninergic alterations.",FO,CHEMICAL,prevent,LPS-mediated body weight loss,DISEASE
29870875,"We found that FO prevented the LPS-mediated body weight loss, anhedonic behavior, reduction of locomotor activity, up-regulation of the proinflammatory cytokines and serotoninergic alterations.",FO,CHEMICAL,prevent,locomotor activity,DISEASE
29870875,"We found that FO prevented the LPS-mediated body weight loss, anhedonic behavior, reduction of locomotor activity, up-regulation of the proinflammatory cytokines and serotoninergic alterations.",FO,CHEMICAL,prevent,anhedonic behavior,DISEASE
19727292,The data suggest that approximately 58 percent of patients with a diagnosis of childhood autism receive some type of pharmaceutical treatment.,childhood autism,MENTAL_HEALTH,receive type of,pharmaceutical treatment,BIOCHEMICAL
24367007,"Although mitochondrial KATP (mitoKATP) channel is proposed to be an important effector for the protection of ischemic myocardium and the inhibition of ischemia/reperfusion-induced ventricular arrhythmias, the molecular identity of mitoKATP channel has not been established.",mitochondrial KATP mitoKATP channel,CHEMICAL,proposed to important effector for protection of ischemic myocardium and inhibition of,ischemia/reperfusion-induced ventricular arrhythmias,DISEASE
2877414,Doses of APH ranging from 2.7 to 54 micrograms/day were examined for signs of toxicity.,APH,CHEMICAL,examined for signs of,toxicity,DISEASE
2877414,"However, APH was ineffective in suppressing convulsions induced by the ED50 dose of pentylenetetrazol given subcutaneously.",APH,CHEMICAL,suppress,convulsions,DISEASE
23099054,"Therefore, the present study was designed to investigate the effect of curcumin and its co-administration with piperine against chronic unpredictable stress (CUS)-induced cognitive impairment and oxidative stress in mice.",curcumin,CHEMICAL,have the effect with,piperine,CHEMICAL
23099054,Chronic stress significantly impaired memory performance (delayed latency time to reach platform in Morris water maze as well as to reach closed arm in elevated plus maze test) and decreased locomotor activity along with sucrose consumption.,Chronic stress,MENTAL_HEALTH,decrease locomotor activity along,sucrose consumption,CHEMICAL
23099054,The results clearly suggest that piperine enhanced the bioavailability of curcumin and potentiated its protective effects against CUS induced cognitive impairment and associated oxidative damage in mice.,piperine,CHEMICAL,enhance bioavailability of,curcumin,CHEMICAL
19540859,"The results showed that memory deficits were reversed with curcumin in a dose dependent manner, as were stress-induced increases in serum corticosterone levels.",memory deficits,DISEASE,reversed with,curcumin,CHEMICAL
19540859,In primary hippocampal neurons it was shown that curcumin or imipramine protected hippocampal neurons against corticosterone-induced toxicity.,imipramine,CHEMICAL,protect hippocampal neurons against,corticosterone-induced toxicity,DISEASE
19540859,In primary hippocampal neurons it was shown that curcumin or imipramine protected hippocampal neurons against corticosterone-induced toxicity.,curcumin,CHEMICAL,protect hippocampal neurons against,corticosterone-induced toxicity,DISEASE
25619176,We conducted a systematic review of randomized-controlled trials (RCTs) to determine the efficacy and safety of aripiprazole augmentation of clozapine for schizophrenia.,clozapine,CHEMICAL,have augmentation for,schizophrenia,MENTAL_HEALTH
1662477,"We report that in monoamine-depleted rats, 2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo(f)quinoxaline (NBQX) (Novo-Nordisk, Copenhagen, Denmark)--a selective antagonist of the AMPA subtype of glutamate receptor--suppressed muscular rigidity but had no effect on akinesia.",NBQX,CHEMICAL,suppress in,monoamine-depleted rats muscular rigidity,DISEASE
1662477,"We report that in monoamine-depleted rats, 2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo(f)quinoxaline (NBQX) (Novo-Nordisk, Copenhagen, Denmark)--a selective antagonist of the AMPA subtype of glutamate receptor--suppressed muscular rigidity but had no effect on akinesia.",AMPA subtype,CHEMICAL,suppress in,monoamine-depleted rats muscular rigidity,DISEASE
1662477,"We report that in monoamine-depleted rats, 2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo(f)quinoxaline (NBQX) (Novo-Nordisk, Copenhagen, Denmark)--a selective antagonist of the AMPA subtype of glutamate receptor--suppressed muscular rigidity but had no effect on akinesia.","2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo(f)quinoxaline Novo-Nordisk",CHEMICAL,suppress in,monoamine-depleted rats muscular rigidity,DISEASE
1662477,"We report that in monoamine-depleted rats, 2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo(f)quinoxaline (NBQX) (Novo-Nordisk, Copenhagen, Denmark)--a selective antagonist of the AMPA subtype of glutamate receptor--suppressed muscular rigidity but had no effect on akinesia.",glutamate receptor,CHEMICAL,suppress in,monoamine-depleted rats muscular rigidity,DISEASE
1662477,"NBQX microinjected into the subthalamic nucleus, internal pallidal segment, and reticular part of the substantia nigra, but not into the laterodorsal neostriatum of the rats, stimulated locomotor activity and reduced muscular rigidity.",NBQX,CHEMICAL,stimulate,reduced muscular rigidity,DISEASE
1662477,"In aged Rhesus monkeys with bilateral 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced parkinsonism, intramuscular NBQX produced clinically apparent improvement in akinesia, tremor, posture, and gross motor skills.",intramuscular NBQX,CHEMICAL,"produce in aged rhesus monkeys with bilateral 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced parkinsonism apparent improvement in",tremor,DISEASE
1662477,"In aged Rhesus monkeys with bilateral 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced parkinsonism, intramuscular NBQX produced clinically apparent improvement in akinesia, tremor, posture, and gross motor skills.",intramuscular NBQX,CHEMICAL,"produce in aged rhesus monkeys with bilateral 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced parkinsonism apparent improvement in",akinesia,MENTAL_HEALTH
1662477,Blockade of excitatory synaptic transmission by AMPA receptor antagonists may provide a new therapeutic strategy for Parkinson's disease (PD).,AMPA receptor antagonists,CHEMICAL,provide new therapeutic strategy for parkinson's,PD,DISEASE
33064217,"The regression tree analyses indicated extracted chlorophyll, CDOM, and NTU were the three most influential parameters on phycocyanin concentrations.",tree analyses,NUTRITION,indicate extracted,chlorophyll,CHEMICAL
33064217,"The regression tree analyses indicated extracted chlorophyll, CDOM, and NTU were the three most influential parameters on phycocyanin concentrations.",tree analyses,NUTRITION,indicate extracted,CDOM,CHEMICAL
33064217,"The regression tree analyses indicated extracted chlorophyll, CDOM, and NTU were the three most influential parameters on phycocyanin concentrations.",regression tree,MENTAL_HEALTH,indicate extracted,chlorophyll,CHEMICAL
33064217,"The regression tree analyses indicated extracted chlorophyll, CDOM, and NTU were the three most influential parameters on phycocyanin concentrations.",regression tree,MENTAL_HEALTH,indicate extracted,CDOM,CHEMICAL
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",Creatine,CHEMICAL,quantified,schizophrenia,MENTAL_HEALTH
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",Creatine,CHEMICAL,quantified,bipolar disorder,MENTAL_HEALTH
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",Choline Cho resonance intensities,NUTRITION,quantified,schizophrenia,MENTAL_HEALTH
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",Choline Cho resonance intensities,NUTRITION,quantified,bipolar disorder,MENTAL_HEALTH
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",NAA,CHEMICAL,quantified,schizophrenia,MENTAL_HEALTH
18437276,"N-acetyl aspartate (NAA), Creatine (Cr), and Choline (Cho) metabolite resonance intensities were all quantified in the cingulum, a region of interest in schizophrenia and bipolar disorder.",NAA,CHEMICAL,quantified,bipolar disorder,MENTAL_HEALTH
18437276,Schizophrenia patients showed a significantly higher Cho/Cre as well as lower NAA/Cho ratios as compared with controls and bipolar patients.,Schizophrenia patients,MENTAL_HEALTH,show,higher Cho/Cre,CHEMICAL
18437276,Schizophrenia patients showed a significantly higher Cho/Cre as well as lower NAA/Cho ratios as compared with controls and bipolar patients.,Schizophrenia patients,MENTAL_HEALTH,show,lower NAA/Cho ratios,CHEMICAL
18437276,Schizophrenia patients showed a significantly higher Cho/Cre as well as lower NAA/Cho ratios as compared with controls and bipolar patients.,Schizophrenia patients,MENTAL_HEALTH,compare with,bipolar patients,DISEASE
8214728,"Through the first 12 h postpartum, the BU group achieved significantly greater analgesia than the morphine sulfate (control) (MS), NB, and NX groups, a significantly lower incidence of severe pruritus than the MS group, and significantly greater satisfaction than MS and NX groups.",BU group,CHEMICAL,achieve through first h postpartum greater analgesia than,morphine sulfate control,CHEMICAL
8214728,"Through the first 12 h postpartum, the BU group achieved significantly greater analgesia than the morphine sulfate (control) (MS), NB, and NX groups, a significantly lower incidence of severe pruritus than the MS group, and significantly greater satisfaction than MS and NX groups.",BU group,CHEMICAL,achieve through first h postpartum greater analgesia than,severe pruritus,DISEASE
8214728,"Through the first 12 h postpartum, the BU group achieved significantly greater analgesia than the morphine sulfate (control) (MS), NB, and NX groups, a significantly lower incidence of severe pruritus than the MS group, and significantly greater satisfaction than MS and NX groups.",BU group,CHEMICAL,achieve through,greater analgesia,MENTAL_HEALTH
8214728,Epidural morphine and BU promoted better analgesia and satisfaction than any previously documented postcesarean regimen.,Epidural morphine,CHEMICAL,promote,better analgesia,MENTAL_HEALTH
11692301,"Specific syndromes may also be addressed by nutritional interventions (for example, cranberry juice consumption to reduce urinary tract infections) and may reduce antibiotic use in older adults, particularly those living in long-term care facilities.",Specific syndromes,MENTAL_HEALTH,reduce,urinary tract infections,DISEASE
34867405,"The behavior tests such as sucrose preference test, forced swimming test and novelty-suppressed feeding test were measured to evaluate depressive-like behaviors of model mice.",sucrose preference,CHEMICAL,evaluate,depressive-like behaviors,DISEASE
25560671,"Kai-Xin-San (KXS), a well-known traditional Chinese herbal decoction, has been widely used to treat mental depression and memory loss in China.",KXS,CHEMICAL,treat,mental depression,MENTAL_HEALTH
25560671,"Kai-Xin-San (KXS), a well-known traditional Chinese herbal decoction, has been widely used to treat mental depression and memory loss in China.",KXS,CHEMICAL,treat,loss,DISEASE
25560671,"It has a combination of four herbs: Ginseng Radix et Rhizoma (GR; root and rhizome of Panax ginseng C. A. Mey.), Polygalae Radix (PR; root of Polygala tenuifolia Wild.), Acori Tatarinowii Rhizoma (ATR; rhizome of Acorus tatarinowii Schott), and Poria (PO; sclerotium of Poriacocos (Schw.) Wolf), from which a pairing of two herbs was considered as paired-herb, such as the pairing of GR-PR and ATR-PO.",Acorus tatarinowii Schott,CHEMICAL,considered such as pairing of,ATR-PO,DISEASE
25560671,"It has a combination of four herbs: Ginseng Radix et Rhizoma (GR; root and rhizome of Panax ginseng C. A. Mey.), Polygalae Radix (PR; root of Polygala tenuifolia Wild.), Acori Tatarinowii Rhizoma (ATR; rhizome of Acorus tatarinowii Schott), and Poria (PO; sclerotium of Poriacocos (Schw.) Wolf), from which a pairing of two herbs was considered as paired-herb, such as the pairing of GR-PR and ATR-PO.",Acori Tatarinowii Rhizoma,CHEMICAL,considered such as pairing of,ATR-PO,DISEASE
32270246,"Lercanidipine reduction at pH = 7.0 is an irreversible process, and the lercanidipine reduction products are electroactive and follow a reversible electron transfer reaction.",lercanidipine reduction products,CHEMICAL,follow,reversible electron transfer reaction,DISEASE
9413929,"Chronic ethanol abuse during pregnancy can cause fetal injury, including the fetal alcohol syndrome (FAS).",Chronic ethanol abuse,MENTAL_HEALTH,cause,fetal injury,DISEASE
9413929,"Chronic ethanol abuse during pregnancy can cause fetal injury, including the fetal alcohol syndrome (FAS).",Chronic ethanol abuse,MENTAL_HEALTH,cause,FAS,CHEMICAL
9413929,"Chronic ethanol abuse during pregnancy can cause fetal injury, including the fetal alcohol syndrome (FAS).",Chronic ethanol abuse,MENTAL_HEALTH,cause,fetal alcohol syndrome,MENTAL_HEALTH
9413929,Ethanol treatment enhanced intracellular adenosine 3':5'-cyclic monophosphate (cAMP) levels in response to either cholera toxin (CTX) or forskolin (FSK).,Ethanol treatment,CHEMICAL,enhance,forskolin,CHEMICAL
9413929,Ethanol treatment enhanced intracellular adenosine 3':5'-cyclic monophosphate (cAMP) levels in response to either cholera toxin (CTX) or forskolin (FSK).,Ethanol treatment,CHEMICAL,enhance,FSK,CHEMICAL
9413929,Ethanol treatment enhanced intracellular adenosine 3':5'-cyclic monophosphate (cAMP) levels in response to either cholera toxin (CTX) or forskolin (FSK).,Ethanol treatment,CHEMICAL,enhance,cAMP,CHEMICAL
9413929,Ethanol treatment enhanced intracellular adenosine 3':5'-cyclic monophosphate (cAMP) levels in response to either cholera toxin (CTX) or forskolin (FSK).,Ethanol treatment,CHEMICAL,enhance,intracellular adenosine 3':5'-cyclic monophosphate,CHEMICAL
9413929,Ethanol treatment enhanced intracellular adenosine 3':5'-cyclic monophosphate (cAMP) levels in response to either cholera toxin (CTX) or forskolin (FSK).,Ethanol treatment,CHEMICAL,enhance,monophosphate levels,CHEMICAL
1650413,Ethanol affected the ability of murine embryonic palate mesenchymal (MEPM) cells to produce cAMP in response to hormone treatment.,Ethanol,CHEMICAL,affect ability of,murine embryonic palate mesenchymal cells,DISEASE
3044173,The role of zinc deficiency in the etiology of ethanol-associated fetotoxicity was assessed by measurement of maternal and newborn hair zinc content in a nonhuman primate model of the fetal alcohol syndrome.,zinc deficiency,CHEMICAL,assessed by measurement of maternal and newborn hair zinc content in nonhuman primate model of,fetal alcohol syndrome,MENTAL_HEALTH
3044173,The role of zinc deficiency in the etiology of ethanol-associated fetotoxicity was assessed by measurement of maternal and newborn hair zinc content in a nonhuman primate model of the fetal alcohol syndrome.,zinc deficiency,CHEMICAL,assessed by measurement of,maternal zinc content,CHEMICAL
21450002,"The NA regulatory circuit in P. putida has evolved an additional repression loop based on the NicR-dependent cross regulation of the nicS gene, thus assuring a tight transcriptional control of the catabolic genes that may prevent depletion of this vitamin B3 when needed for the synthesis of essential cofactors.",NA regulatory circuit,CHEMICAL,evolve,additional repression loop,MENTAL_HEALTH
